row_id,user_id,user_name,advertiser_type,is_verified,user_review,city_id,city,district_id,district,property_type,transaction_type,location_lat,location_lng,create_time,created_at,updated_at,age,has_air_condition,has_kitchen,bathrooms,bedrooms,livings,area,has_furnished,price,rent_period,is_daily_rentable
2770135,60858,مكتب اصول الاختيار للعقارات,exclusive_marketer,Yes,4.380000114440918,70,خميس مشيط,4030,حي الصقور,Land,Rental,"""\""1830355\""""","""\""4276885\""""",1609032038000,1680308700173,1680308700173,0,Yes,Yes,5,4,2,1172,No,200000,Daily,No
2995589,1143127,حسين,owner,Yes,3,70,خميس مشيط,4030,حي الصقور,Villa,Sell,"""\""1830469\""""","""\""4276585\""""",1614950865000,1672582620064,1672582620064,0,Yes,Yes,5,4,2,353,No,1650000,Daily,No
3672855,20223,فيصل القحطاني رقم المعلن 0546519,normal_marketer,Yes,5,70,خميس مشيط,4030,حي الصقور,Building,Sell,"""\""1830033\""""","""\""4277178\""""",1635923922000,1672586081525,1672586081525,7,Yes,Yes,5,4,2,1000,No,9000000,Daily,No
2770135,60858,مكتب اصول الاختيار للعقارات,exclusive_marketer,Yes,4.380000114440918,70,خميس مشيط,4030,حي الصقور,Land,Rental,"""\""1830355\""""","""\""4276885\""""",1609032038000,1680308700173,1680308700173,0,Yes,Yes,5,4,2,1172,No,200000,Daily,No
2995589,1143127,حسين,owner,Yes,3,70,خميس مشيط,4030,حي الصقور,Villa,Sell,"""\""1830469\""""","""\""4276585\""""",1614950865000,1672582620064,1672582620064,0,Yes,Yes,5,4,2,353,No,1650000,Daily,No
3672855,20223,فيصل القحطاني رقم المعلن 0546519,normal_marketer,Yes,5,70,خميس مشيط,4030,حي الصقور,Building,Sell,"""\""1830033\""""","""\""4277178\""""",1635923922000,1672586081525,1672586081525,7,Yes,Yes,5,4,2,1000,No,9000000,Daily,No
672075,275561,مكتب بوابة الشاطئ للعقارات,N/A,Yes,4.519999980926514,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643459\""""","""\""5009946\""""",1504513377000,1672585831414,1672585831414,4,No,No,0,0,0,325,No,2100000,Yearly,No
1278672,574471,مؤسسة مواهب الاتقان للعقار,N/A,Yes,4.440000057220459,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643222\""""","""\""5010432\""""",1543967061000,1672585048935,1672585048935,22,No,Yes,1,1,1,268,No,3300000,Monthly,No
1433560,275561,مكتب بوابة الشاطئ للعقارات,N/A,Yes,4.519999980926514,18,الدمام,1256,حي العدامة,Land,Sell,"""\""2643227\""""","""\""5010719\""""",1551887394000,1672585831820,1672585831820,0,No,Yes,1,1,1,650,No,1200000,Monthly,No
1872084,661252,مكتب العبداللطيف للعقارات,N/A,Yes,4.090000152587891,18,الدمام,1256,حي العدامة,Villa,Sell,"""\""2643209\""""","""\""5010294\""""",1573477157000,1672581526770,1672581526770,35,No,Yes,5,5,2,300,No,990000,Monthly,No
1898021,298306,إحياء للتطوير العقاري,N/A,Yes,4.630000114440918,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643508\""""","""\""5010169\""""",1574542385000,1672583620148,1672583620148,5,No,Yes,1,1,1,161,No,1500000,Monthly,No
2358035,230648,مؤسسة أنوار المشرق العقارية,N/A,Yes,4.75,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643035\""""","""\""5010336\""""",1594892228000,1672584607389,1672584607389,0,No,Yes,1,1,1,325,No,2500000,Monthly,No
2666884,1398,مـكـسب العـقارية,exclusive_marketer,Yes,4.760000228881836,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2625485\""""","""\""4395117\""""",1605882944000,1672582817487,1672582817487,0,Yes,Yes,1,1,1,400,Yes,130000,Daily,No
2669287,281444,مكتب تل الواحة العقاري معتمد ,N/A,Yes,4.230000019073486,18,الدمام,1256,حي العدامة,Store,Rental,"""\""2643123\""""","""\""5009766\""""",1605967089000,1672583996629,1672583996629,6,No,Yes,1,1,1,80,No,35000,Monthly,No
2963585,99057,مؤسسة مجد الشرق للخدمات العقارية,exclusive_marketer,Yes,4.579999923706055,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643037\""""","""\""5010621\""""",1614174491000,1672583557517,1672583557517,30,No,Yes,1,1,1,241,No,900000,Monthly,No
3024114,115284,مكتب أجياد الاندلس,N/A,Yes,4.079999923706055,76,رماح,942,حي رماح,Land,Sell,"""\""2557338\""""","""\""4712481\""""",1615657918000,1672587274253,1672587274253,0,No,Yes,4,3,1,600,No,220000,Daily,No
3048791,422950,سبحان الله وبحمده سبحان الله العظيم,exclusive_marketer,Yes,3.6700000762939453,76,رماح,942,حي رماح,Land,Sell,"""\""2556755\""""","""\""4716267\""""",1616296871000,1672582062622,1672582062622,0,No,Yes,4,3,1,446,No,200700,Daily,No
3072757,1350303,شركه المشيطي العقاريه,exclusive_marketer,Yes,5,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2625946\""""","""\""4395054\""""",1616920247000,1672582761024,1672582761024,0,Yes,Yes,1,1,1,420,Yes,147000,Daily,No
3079426,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,agent,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Apartment,Rental,"""\""2643485\""""","""\""5009726\""""",1617086818000,1672583523135,1672583523135,7,No,Yes,1,1,1,NaN,No,8500,Monthly,No
3079525,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,agent,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Store,Rental,"""\""2643484\""""","""\""5009726\""""",1617089176000,1672583522561,1672583522561,16,No,Yes,1,1,1,30,No,10000,Monthly,No
3079601,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,agent,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Store,Rental,"""\""2643395\""""","""\""5009895\""""",1617091504000,1672583522505,1672583522505,14,No,Yes,1,1,1,35,No,9000,Monthly,No
3081117,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,exclusive_marketer,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Office,Rental,"""\""2643625\""""","""\""5010769\""""",1617119061000,1672583522572,1672583522572,6,No,Yes,1,1,1,75,No,14000,Monthly,No
3114958,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,exclusive_marketer,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Apartment,Rental,"""\""2643769\""""","""\""5010175\""""",1618063176000,1672583522494,1672583522494,10,No,Yes,1,1,1,60,No,9500,Monthly,No
3143897,1608711,الركن للتسويق .,exclusive_marketer,Yes,5,76,رماح,942,حي رماح,Esterahah,Sell,"""\""2555247\""""","""\""4715434\""""",1618941425000,1672585311887,1672585311887,0,No,Yes,1,3,1,650,No,500000,Daily,No
3218048,574471,مؤسسة مواهب الاتقان للعقار,N/A,Yes,4.440000057220459,18,الدمام,1256,حي العدامة,Building,Rental,"""\""2643389\""""","""\""5010473\""""",1621670159000,1672585045432,1672585045432,14,No,Yes,1,1,1,268,No,210000,Monthly,No
3292801,384047,مؤسسة قناص الخبر للعقارات,exclusive_marketer,Yes,4.440000057220459,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2642995\""""","""\""5010656\""""",1623650926000,1672581681115,1672581681115,26,No,Yes,1,1,1,242,No,990000,Monthly,No
3418614,194920,.,agent,Yes,4.53000020980835,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643162\""""","""\""5010264\""""",1627746666000,1672579896487,1672579896487,3,No,Yes,1,1,1,325,Yes,2150000,Monthly,No
3530322,1947806,Abu Saad,owner,Yes,0,76,رماح,942,حي رماح,Villa,Sell,"""\""2554251\""""","""\""4716621\""""",1631172318000,1672581775233,1672581775233,8,No,Yes,3,3,1,312,No,400000,Daily,No
3538216,256637,ابو محمد07,exclusive_marketer,Yes,5,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2642903\""""","""\""5010469\""""",1631433198000,1672583187713,1672583187713,30,No,Yes,1,1,1,244,No,1150000,Monthly,No
3562568,231084,مكتب مستطيلات البناء للخدمات العقارية,exclusive_marketer,Yes,4.099999904632568,18,الدمام,1256,حي العدامة,Store,Rental,"""\""2643529\""""","""\""5010157\""""",1632213005000,1672586282256,1672586282256,0,No,Yes,1,1,1,40,No,10000,Monthly,No
3563077,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,exclusive_marketer,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Apartment,Rental,"""\""2643416\""""","""\""5009878\""""",1632234055000,1672583523022,1672583523022,9,No,Yes,1,2,1,NaN,No,12000,Yearly,No
3567847,377483,جاسم,exclusive_marketer,Yes,4.199999809265137,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643150\""""","""\""5010121\""""",1632417534000,1672585254396,1672585254396,36,No,Yes,1,1,1,325,No,800000,Monthly,No
3582506,1447384,زهـير الزهـيـر,N/A,Yes,4.820000171661377,18,الدمام,1256,حي العدامة,Office,Rental,"""\""2643118\""""","""\""5010740\""""",1632986046000,1672586385698,1672586385698,0,No,Yes,1,1,1,67,No,27000,Monthly,No
3590840,1992044,مكتب رماح للعقارات,normal_marketer,Yes,4.199999809265137,76,رماح,942,حي رماح,Land,Sell,"""\""2556594\""""","""\""4716563\""""",1633274633000,1672585037857,1672585037857,0,No,Yes,4,3,1,400,No,195000,Daily,No
3591409,416383,malfozan,agent,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2540972\""""","""\""4721299\""""",1633286792000,1672585789262,1672585789262,0,No,Yes,4,3,1,500,No,300000,Daily,No
3705631,1220109,ماجد الغنام العقارية,normal_marketer,Yes,4.639999866485596,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2624361\""""","""\""4394484\""""",1636875758000,1672587647184,1672587647184,0,Yes,Yes,1,1,1,375,Yes,100000,Daily,No
3744899,761066,0550360503,owner,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2554607\""""","""\""4717202\""""",1637797766000,1672586777978,1672586777978,0,No,Yes,4,3,1,625,No,400000,Daily,No
3745106,761066,0550360503,owner,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2554160\""""","""\""4716605\""""",1637817123000,1672586777966,1672586777966,0,No,Yes,4,3,1,600,No,402000,Daily,No
3756894,928624,ابو تركي 0505213678,agent,Yes,1,76,رماح,942,حي رماح,Land,Sell,"""\""2556778\""""","""\""4714648\""""",1638124571000,1672580624848,1672580624848,0,No,Yes,4,3,1,630,No,350280,Daily,No
3765637,287982,0530582666,exclusive_marketer,Yes,4.440000057220459,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2624221\""""","""\""4395652\""""",1638354180000,1672586070608,1672586070608,0,Yes,Yes,1,1,1,486,Yes,97200,Daily,No
3797660,922834,ابوعبدالعزيز,agent,Yes,5,40,المجمعة,860,حي الفحياء,Villa,Sell,"""\""2590821\""""","""\""4535455\""""",1639225107000,1672585932138,1672585932138,30,Yes,Yes,5,6,2,385,No,380000,Daily,No
3807890,2403585,محمد الشفيع,owner,Yes,0,76,رماح,942,حي رماح,Land,Sell,"""\""2531670\""""","""\""4690903\""""",1639436824000,1675336816486,1675336816486,0,No,Yes,4,3,1,1000,No,10000000,Daily,No
3810627,798507,مؤسسة أرجاء إعمار العقارية,agent,Yes,4.880000114440918,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2625967\""""","""\""4394834\""""",1639499491000,1672587191990,1672587191990,0,Yes,Yes,1,1,1,450,Yes,140000,Daily,No
3813950,671529,سلطان العنزي,exclusive_marketer,Yes,4.590000152587891,76,رماح,942,حي رماح,Land,Sell,"""\""2556117\""""","""\""4716057\""""",1639580966000,1672587442850,1672587442850,0,No,Yes,4,3,1,630,No,409500,Daily,No
3828338,2153072,سعد البرادي,owner,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2553976\""""","""\""4718360\""""",1639991191000,1672584445329,1672584445329,0,No,Yes,4,3,1,920,No,460000,Daily,No
3849930,553695,hakem,owner,Yes,4.5,76,رماح,942,حي رماح,Land,Sell,"""\""2553358\""""","""\""4716947\""""",1640464389000,1672584646217,1672584646217,0,No,Yes,4,3,1,600,No,315000,Daily,No
3855178,7462,مكتب الشامل للعقارات,agent,Yes,4.679999828338623,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643280\""""","""\""5009835\""""",1640593591000,1672586682839,1672586682839,5,No,Yes,1,1,1,325,No,3500000,Monthly,No
3860712,431708,ماهر الغامدي,exclusive_marketer,Yes,4.619999885559082,76,رماح,942,حي رماح,Land,Sell,"""\""2526940\""""","""\""4747102\""""",1640704177000,1672587031407,1672587031407,0,No,Yes,4,3,1,2000,No,1000000,Daily,No
3876450,170300,مكتب الغامدي روابي الصفا,N/A,Yes,4.28000020980835,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643296\""""","""\""5009954\""""",1641110442000,1672585624317,1672585624317,4,No,Yes,1,1,1,325,No,3400000,Monthly,No
3882476,124557,مكتب جودة المشتري العقاري,agent,Yes,4.139999866485596,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643256\""""","""\""5009771\""""",1641223291000,1672585202609,1672585202609,4,No,Yes,1,1,1,325,No,3400000,Monthly,No
3887649,184317,الباني,agent,Yes,3,76,رماح,942,حي رماح,Building,Sell,"""\""2554444\""""","""\""4718421\""""",1641320787000,1672587434842,1672587434842,5,No,Yes,4,3,1,600,No,1250000,Daily,No
3899423,29545,ابوفهد,owner,Yes,0,76,رماح,942,حي رماح,Villa,Sell,"""\""2554466\""""","""\""4716565\""""",1641585910000,1672587442935,1672587442935,20,No,Yes,5,4,1,2600,No,2000000,Daily,No
3907761,382560,ابوزياد,agent,Yes,4.099999904632568,76,رماح,942,حي رماح,Land,Sell,"""\""2557118\""""","""\""4715020\""""",1641759481000,1672587795457,1672587795457,0,No,Yes,4,3,1,720,No,325000,Daily,No
3915469,452250,ali,N/A,Yes,4.909999847412109,18,الدمام,1256,حي العدامة,Room,Rental,"""\""2643392\""""","""\""5009806\""""",1641930512000,1672581992882,1672581992882,4,No,Yes,1,1,1,45,No,700,Monthly,No
3917625,575438,0504202282,owner,Yes,5,76,رماح,942,حي رماح,Villa,Sell,"""\""2556696\""""","""\""4714359\""""",1641992402000,1672585675010,1672585675010,0,No,Yes,4,6,1,500,No,700000,Daily,No
3940245,1768168,سعد,agent,Yes,5,76,رماح,942,حي رماح,Villa,Rental,"""\""2556117\""""","""\""4716057\""""",1642514862000,1672586491830,1672586491830,0,No,Yes,4,7,2,625,No,27000,Daily,No
3957935,523706,ابن نايف,owner,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2555366\""""","""\""4716127\""""",1642950765000,1672587214760,1672587214760,0,No,Yes,4,3,1,625,No,385000,Daily,No
672075,275561,مكتب بوابة الشاطئ للعقارات,N/A,Yes,4.519999980926514,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643459\""""","""\""5009946\""""",1504513377000,1672585831414,1672585831414,4,No,No,0,0,0,325,No,2100000,Yearly,No
1278672,574471,مؤسسة مواهب الاتقان للعقار,N/A,Yes,4.440000057220459,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643222\""""","""\""5010432\""""",1543967061000,1672585048935,1672585048935,22,No,Yes,1,1,1,268,No,3300000,Monthly,No
1433560,275561,مكتب بوابة الشاطئ للعقارات,N/A,Yes,4.519999980926514,18,الدمام,1256,حي العدامة,Land,Sell,"""\""2643227\""""","""\""5010719\""""",1551887394000,1672585831820,1672585831820,0,No,Yes,1,1,1,650,No,1200000,Monthly,No
1872084,661252,مكتب العبداللطيف للعقارات,N/A,Yes,4.090000152587891,18,الدمام,1256,حي العدامة,Villa,Sell,"""\""2643209\""""","""\""5010294\""""",1573477157000,1672581526770,1672581526770,35,No,Yes,5,5,2,300,No,990000,Monthly,No
1898021,298306,إحياء للتطوير العقاري,N/A,Yes,4.630000114440918,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643508\""""","""\""5010169\""""",1574542385000,1672583620148,1672583620148,5,No,Yes,1,1,1,161,No,1500000,Monthly,No
2358035,230648,مؤسسة أنوار المشرق العقارية,N/A,Yes,4.75,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643035\""""","""\""5010336\""""",1594892228000,1672584607389,1672584607389,0,No,Yes,1,1,1,325,No,2500000,Monthly,No
2666884,1398,مـكـسب العـقارية,exclusive_marketer,Yes,4.760000228881836,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2625485\""""","""\""4395117\""""",1605882944000,1672582817487,1672582817487,0,Yes,Yes,1,1,1,400,Yes,130000,Daily,No
2669287,281444,مكتب تل الواحة العقاري معتمد ,N/A,Yes,4.230000019073486,18,الدمام,1256,حي العدامة,Store,Rental,"""\""2643123\""""","""\""5009766\""""",1605967089000,1672583996629,1672583996629,6,No,Yes,1,1,1,80,No,35000,Monthly,No
2963585,99057,مؤسسة مجد الشرق للخدمات العقارية,exclusive_marketer,Yes,4.579999923706055,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643037\""""","""\""5010621\""""",1614174491000,1672583557517,1672583557517,30,No,Yes,1,1,1,241,No,900000,Monthly,No
3024114,115284,مكتب أجياد الاندلس,N/A,Yes,4.079999923706055,76,رماح,942,حي رماح,Land,Sell,"""\""2557338\""""","""\""4712481\""""",1615657918000,1672587274253,1672587274253,0,No,Yes,4,3,1,600,No,220000,Daily,No
3048791,422950,سبحان الله وبحمده سبحان الله العظيم,exclusive_marketer,Yes,3.6700000762939453,76,رماح,942,حي رماح,Land,Sell,"""\""2556755\""""","""\""4716267\""""",1616296871000,1672582062622,1672582062622,0,No,Yes,4,3,1,446,No,200700,Daily,No
3072757,1350303,شركه المشيطي العقاريه,exclusive_marketer,Yes,5,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2625946\""""","""\""4395054\""""",1616920247000,1672582761024,1672582761024,0,Yes,Yes,1,1,1,420,Yes,147000,Daily,No
3079426,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,agent,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Apartment,Rental,"""\""2643485\""""","""\""5009726\""""",1617086818000,1672583523135,1672583523135,7,No,Yes,1,1,1,NaN,No,8500,Monthly,No
3079525,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,agent,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Store,Rental,"""\""2643484\""""","""\""5009726\""""",1617089176000,1672583522561,1672583522561,16,No,Yes,1,1,1,30,No,10000,Monthly,No
3079601,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,agent,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Store,Rental,"""\""2643395\""""","""\""5009895\""""",1617091504000,1672583522505,1672583522505,14,No,Yes,1,1,1,35,No,9000,Monthly,No
3081117,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,exclusive_marketer,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Office,Rental,"""\""2643625\""""","""\""5010769\""""",1617119061000,1672583522572,1672583522572,6,No,Yes,1,1,1,75,No,14000,Monthly,No
3114958,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,exclusive_marketer,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Apartment,Rental,"""\""2643769\""""","""\""5010175\""""",1618063176000,1672583522494,1672583522494,10,No,Yes,1,1,1,60,No,9500,Monthly,No
3143897,1608711,الركن للتسويق .,exclusive_marketer,Yes,5,76,رماح,942,حي رماح,Esterahah,Sell,"""\""2555247\""""","""\""4715434\""""",1618941425000,1672585311887,1672585311887,0,No,Yes,1,3,1,650,No,500000,Daily,No
3218048,574471,مؤسسة مواهب الاتقان للعقار,N/A,Yes,4.440000057220459,18,الدمام,1256,حي العدامة,Building,Rental,"""\""2643389\""""","""\""5010473\""""",1621670159000,1672585045432,1672585045432,14,No,Yes,1,1,1,268,No,210000,Monthly,No
3292801,384047,مؤسسة قناص الخبر للعقارات,exclusive_marketer,Yes,4.440000057220459,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2642995\""""","""\""5010656\""""",1623650926000,1672581681115,1672581681115,26,No,Yes,1,1,1,242,No,990000,Monthly,No
3418614,194920,.,agent,Yes,4.53000020980835,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643162\""""","""\""5010264\""""",1627746666000,1672579896487,1672579896487,3,No,Yes,1,1,1,325,Yes,2150000,Monthly,No
3530322,1947806,Abu Saad,owner,Yes,0,76,رماح,942,حي رماح,Villa,Sell,"""\""2554251\""""","""\""4716621\""""",1631172318000,1672581775233,1672581775233,8,No,Yes,3,3,1,312,No,400000,Daily,No
3538216,256637,ابو محمد07,exclusive_marketer,Yes,5,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2642903\""""","""\""5010469\""""",1631433198000,1672583187713,1672583187713,30,No,Yes,1,1,1,244,No,1150000,Monthly,No
3562568,231084,مكتب مستطيلات البناء للخدمات العقارية,exclusive_marketer,Yes,4.099999904632568,18,الدمام,1256,حي العدامة,Store,Rental,"""\""2643529\""""","""\""5010157\""""",1632213005000,1672586282256,1672586282256,0,No,Yes,1,1,1,40,No,10000,Monthly,No
3563077,88509,مكتب عبدالعزيز عبدالرحمن المنصور لادارة الامل,exclusive_marketer,Yes,4.650000095367432,18,الدمام,1256,حي العدامة,Apartment,Rental,"""\""2643416\""""","""\""5009878\""""",1632234055000,1672583523022,1672583523022,9,No,Yes,1,2,1,NaN,No,12000,Yearly,No
3567847,377483,جاسم,exclusive_marketer,Yes,4.199999809265137,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643150\""""","""\""5010121\""""",1632417534000,1672585254396,1672585254396,36,No,Yes,1,1,1,325,No,800000,Monthly,No
3582506,1447384,زهـير الزهـيـر,N/A,Yes,4.820000171661377,18,الدمام,1256,حي العدامة,Office,Rental,"""\""2643118\""""","""\""5010740\""""",1632986046000,1672586385698,1672586385698,0,No,Yes,1,1,1,67,No,27000,Monthly,No
3590840,1992044,مكتب رماح للعقارات,normal_marketer,Yes,4.199999809265137,76,رماح,942,حي رماح,Land,Sell,"""\""2556594\""""","""\""4716563\""""",1633274633000,1672585037857,1672585037857,0,No,Yes,4,3,1,400,No,195000,Daily,No
3591409,416383,malfozan,agent,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2540972\""""","""\""4721299\""""",1633286792000,1672585789262,1672585789262,0,No,Yes,4,3,1,500,No,300000,Daily,No
3705631,1220109,ماجد الغنام العقارية,normal_marketer,Yes,4.639999866485596,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2624361\""""","""\""4394484\""""",1636875758000,1672587647184,1672587647184,0,Yes,Yes,1,1,1,375,Yes,100000,Daily,No
3744899,761066,0550360503,owner,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2554607\""""","""\""4717202\""""",1637797766000,1672586777978,1672586777978,0,No,Yes,4,3,1,625,No,400000,Daily,No
3745106,761066,0550360503,owner,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2554160\""""","""\""4716605\""""",1637817123000,1672586777966,1672586777966,0,No,Yes,4,3,1,600,No,402000,Daily,No
3756894,928624,ابو تركي 0505213678,agent,Yes,1,76,رماح,942,حي رماح,Land,Sell,"""\""2556778\""""","""\""4714648\""""",1638124571000,1672580624848,1672580624848,0,No,Yes,4,3,1,630,No,350280,Daily,No
3765637,287982,0530582666,exclusive_marketer,Yes,4.440000057220459,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2624221\""""","""\""4395652\""""",1638354180000,1672586070608,1672586070608,0,Yes,Yes,1,1,1,486,Yes,97200,Daily,No
3797660,922834,ابوعبدالعزيز,agent,Yes,5,40,المجمعة,860,حي الفحياء,Villa,Sell,"""\""2590821\""""","""\""4535455\""""",1639225107000,1672585932138,1672585932138,30,Yes,Yes,5,6,2,385,No,380000,Daily,No
3807890,2403585,محمد الشفيع,owner,Yes,0,76,رماح,942,حي رماح,Land,Sell,"""\""2531670\""""","""\""4690903\""""",1639436824000,1675336816486,1675336816486,0,No,Yes,4,3,1,1000,No,10000000,Daily,No
3810627,798507,مؤسسة أرجاء إعمار العقارية,agent,Yes,4.880000114440918,52,بريدة,2342,حي القصيعة,Land,Sell,"""\""2625967\""""","""\""4394834\""""",1639499491000,1672587191990,1672587191990,0,Yes,Yes,1,1,1,450,Yes,140000,Daily,No
3813950,671529,سلطان العنزي,exclusive_marketer,Yes,4.590000152587891,76,رماح,942,حي رماح,Land,Sell,"""\""2556117\""""","""\""4716057\""""",1639580966000,1672587442850,1672587442850,0,No,Yes,4,3,1,630,No,409500,Daily,No
3828338,2153072,سعد البرادي,owner,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2553976\""""","""\""4718360\""""",1639991191000,1672584445329,1672584445329,0,No,Yes,4,3,1,920,No,460000,Daily,No
3849930,553695,hakem,owner,Yes,4.5,76,رماح,942,حي رماح,Land,Sell,"""\""2553358\""""","""\""4716947\""""",1640464389000,1672584646217,1672584646217,0,No,Yes,4,3,1,600,No,315000,Daily,No
3855178,7462,مكتب الشامل للعقارات,agent,Yes,4.679999828338623,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643280\""""","""\""5009835\""""",1640593591000,1672586682839,1672586682839,5,No,Yes,1,1,1,325,No,3500000,Monthly,No
3860712,431708,ماهر الغامدي,exclusive_marketer,Yes,4.619999885559082,76,رماح,942,حي رماح,Land,Sell,"""\""2526940\""""","""\""4747102\""""",1640704177000,1672587031407,1672587031407,0,No,Yes,4,3,1,2000,No,1000000,Daily,No
3876450,170300,مكتب الغامدي روابي الصفا,N/A,Yes,4.28000020980835,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643296\""""","""\""5009954\""""",1641110442000,1672585624317,1672585624317,4,No,Yes,1,1,1,325,No,3400000,Monthly,No
3882476,124557,مكتب جودة المشتري العقاري,agent,Yes,4.139999866485596,18,الدمام,1256,حي العدامة,Building,Sell,"""\""2643256\""""","""\""5009771\""""",1641223291000,1672585202609,1672585202609,4,No,Yes,1,1,1,325,No,3400000,Monthly,No
3887649,184317,الباني,agent,Yes,3,76,رماح,942,حي رماح,Building,Sell,"""\""2554444\""""","""\""4718421\""""",1641320787000,1672587434842,1672587434842,5,No,Yes,4,3,1,600,No,1250000,Daily,No
3899423,29545,ابوفهد,owner,Yes,0,76,رماح,942,حي رماح,Villa,Sell,"""\""2554466\""""","""\""4716565\""""",1641585910000,1672587442935,1672587442935,20,No,Yes,5,4,1,2600,No,2000000,Daily,No
3907761,382560,ابوزياد,agent,Yes,4.099999904632568,76,رماح,942,حي رماح,Land,Sell,"""\""2557118\""""","""\""4715020\""""",1641759481000,1672587795457,1672587795457,0,No,Yes,4,3,1,720,No,325000,Daily,No
3915469,452250,ali,N/A,Yes,4.909999847412109,18,الدمام,1256,حي العدامة,Room,Rental,"""\""2643392\""""","""\""5009806\""""",1641930512000,1672581992882,1672581992882,4,No,Yes,1,1,1,45,No,700,Monthly,No
3917625,575438,0504202282,owner,Yes,5,76,رماح,942,حي رماح,Villa,Sell,"""\""2556696\""""","""\""4714359\""""",1641992402000,1672585675010,1672585675010,0,No,Yes,4,6,1,500,No,700000,Daily,No
3940245,1768168,سعد,agent,Yes,5,76,رماح,942,حي رماح,Villa,Rental,"""\""2556117\""""","""\""4716057\""""",1642514862000,1672586491830,1672586491830,0,No,Yes,4,7,2,625,No,27000,Daily,No
3957935,523706,ابن نايف,owner,Yes,5,76,رماح,942,حي رماح,Land,Sell,"""\""2555366\""""","""\""4716127\""""",1642950765000,1672587214760,1672587214760,0,No,Yes,4,3,1,625,No,385000,Daily,No
3960700,719753,,owner,Yes,5,76,رماح,942,حي رماح,Villa,Sell,"""\""2553870\""""","""\""4716055\""""",1643020910000,1672585393791,1672585393791,0,No,Yes,5,7,2,750,Yes,820000,Daily,No
